,ID,LtrGrade,Department,Grade,Term_GPA,Course,Name,Age,Attendance,Gender,Latino,Race,ZIP,LAT,LNG,ProfID
0,18000007,C+,Business Management,77.13,2.23,ECO 110,Microeconomics,23,88.89%,2,No,5,92126,32.908449,-117.14138,76
1,18000007,D,Integrated Core,63.0,2.23,INT 110,Critical Reasoning,23,50%,2,No,5,92126,32.908449,-117.14138,29
2,18000007,C+,General Education,76.0,2.23,WRI 100,College Composition I,23,55.81%,2,No,5,92126,32.908449,-117.14138,10
4,18000007,B+,General Education,87.0,2.23,MTH 100,College Algebra,23,60%,2,No,5,92126,32.908449,-117.14138,57
5,18000007,P+,Other,100.0,2.25,Chapel,Chapel,23,100%,2,No,5,92126,32.908449,-117.14138,46
6,18000007,A-,Business Management,92.39,2.25,MGT 315,Organizational Behavior,23,59.18%,2,No,5,92126,32.908449,-117.14138,41
8,18000007,F,General Education,24.33,2.25,WRI 105,College Composition II,23,40%,2,No,5,92126,32.908449,-117.14138,90
9,18000007,C,Business Management,74.87,2.25,MGT 320,HR and Talent Management,23,63.27%,2,No,5,92126,32.908449,-117.14138,41
16,18000048,P+,Other,100.0,1.9,Chapel,Chapel,18,100%,3,Yes,2,90220,33.88151,-118.234451,46
17,18000048,D+,Integrated Core,68.69,1.9,INT 100,Interdisciplinary Liberal Arts,18,62.22%,3,Yes,2,90220,33.88151,-118.234451,25
18,18000048,B+,Kinesiology,88.24,1.9,KIN 200,Introduction to Kinesiology,18,78.13%,3,Yes,2,90220,33.88151,-118.234451,77
20,18000048,C,General Education,75.4,1.9,WRI 100,College Composition I,18,68.89%,3,Yes,2,90220,33.88151,-118.234451,90
25,2016000002,B+,Other,88.0,2.78,FRS 100,Freshman Seminar,20,100%,2,No,1,92065,33.053005999999996,-116.850651,12
26,2016000002,C+,Integrated Core,78.0,2.78,INT 100,Interdisciplinary Studies,20,94.12%,2,No,1,92065,33.053005999999996,-116.850651,28
27,2016000002,C,Business Management,74.0,2.78,MGT 100,Foundations of Business,20,100%,2,No,1,92065,33.053005999999996,-116.850651,76
29,2016000002,A,General Education,93.82,2.78,WRI 100,College Composition I,20,96.15%,2,No,1,92065,33.053005999999996,-116.850651,54
31,2016000002,B-,Business Management,81.76,2.78,ECO 115,Principles of Macroeconomics,20,100%,2,No,1,92065,33.053005999999996,-116.850651,81
32,2016000002,C+,Business Management,76.49,3.25,ECO 110,Principles of Microeconomics,20,96.67%,2,No,1,92065,33.053005999999996,-116.850651,17
33,2016000002,B-,Arts and Humanities,82.11,3.25,HIS 200,Special Topics: Civil War and Reconstruction Era,20,100%,2,No,1,92065,33.053005999999996,-116.850651,12
34,2016000002,A,Integrated Core,93.1,3.25,INT 110,Critical Reasoning,20,93.10%,2,No,1,92065,33.053005999999996,-116.850651,29
35,2016000002,A,General Education,96.35,3.25,WRI 105,College Composition II,20,94.12%,2,No,1,92065,33.053005999999996,-116.850651,71
37,2016000002,C+,Business Management,78.38,2.72,ACC 220,Financial Accounting,20,96.55%,2,No,1,92065,33.053005999999996,-116.850651,17
38,2016000002,A-,Integrated Core,90.75,2.72,INT 200,Classical Rhetoric,20,96.30%,2,No,1,92065,33.053005999999996,-116.850651,25
39,2016000002,C+,General Education,79.34,2.72,SPA 100,Spanish I,20,100%,2,No,1,92065,33.053005999999996,-116.850651,19
42,2016000002,A,Business Management,95.0,3.3,ACC 230,Managerial Accounting,20,100%,2,No,1,92065,33.053005999999996,-116.850651,17
43,2016000002,A-,Integrated Core,92.38,3.3,INT 210,Western Civilization &amp; the Formation of Christendom,20,100%,2,No,1,92065,33.053005999999996,-116.850651,20
44,2016000002,B,Business Management,83.0,3.3,MGT 315,Organizational Behavior,20,94.12%,2,No,1,92065,33.053005999999996,-116.850651,89
45,2016000002,B-,General Education,80.0,3.3,SPA 105,Spanish II,20,100%,2,No,1,92065,33.053005999999996,-116.850651,19
47,2016000002,A,Business Management,93.6,3.88,BUS 305,Business Law,20,93.33%,2,No,1,92065,33.053005999999996,-116.850651,23
48,2016000002,A,General Education,96.55,3.88,COM 105,Oral Communication,20,96%,2,No,1,92065,33.053005999999996,-116.850651,41
49,2016000002,A-,Integrated Core,91.05,3.88,INT 300,Ethics,20,80%,2,No,1,92065,33.053005999999996,-116.850651,29
50,2016000002,A,Business Management,93.0,3.88,MGT 320,HR and Talent Management,20,95.92%,2,No,1,92065,33.053005999999996,-116.850651,41
51,2016000002,A-,Business Management,90.04,3.88,MKT 320,Marketing Management,20,97.06%,2,No,1,92065,33.053005999999996,-116.850651,22
52,2016000002,P+,Other,100.0,3.88,Chapel,Chapel,20,100%,2,No,1,92065,33.053005999999996,-116.850651,46
59,2016000003,C-,Natural Sciences,70.0,1.64,BIO 105,Introductory Biology I and LAB,23,100%,3,Yes,1,90260,33.88856,-118.35181299999999,6
61,2016000003,C,Natural Sciences,74.22,1.64,CHE 105,General Chemistry I and LAB,23,100%,3,Yes,1,90260,33.88856,-118.35181299999999,31
62,2016000003,B-,Integrated Core,82.47,1.64,INT 200,Classical Rhetoric,23,88.24%,3,Yes,1,90260,33.88856,-118.35181299999999,28
63,2016000003,F,Psychology,47.0,1.64,PSY 150,Introduction to Psychology,23,81.40%,3,Yes,1,90260,33.88856,-118.35181299999999,80
64,2016000003,D,Arts and Humanities,64.69,1.08,HIS 200,Special Topics: Civil War and Reconstruction Era,23,85.71%,3,Yes,1,90260,33.88856,-118.35181299999999,12
65,2016000003,0,General Education,0.0,1.08,THE 105,New Testament,23,85.71%,3,Yes,1,90260,33.88856,-118.35181299999999,52
66,2016000003,F,Integrated Core,4.0,1.08,INT 210,Western Civilization &amp; the Formation of Christendom,23,65.63%,3,Yes,1,90260,33.88856,-118.35181299999999,20
67,2016000003,A-,General Education,92.0,1.08,MTH 100,College Algebra,23,100%,3,Yes,1,90260,33.88856,-118.35181299999999,67
69,2016000003,F,General Education,56.48,1.08,SPA 105,Spanish II,23,88.89%,3,Yes,1,90260,33.88856,-118.35181299999999,19
71,2016000004,A,Business Management,96.0,4.0,ACC 220,Financial Accounting,27,95.83%,2,No,1,92057,33.254619,-117.283341,17
72,2016000004,A,Business Management,100.0,4.0,ECO 115,Principles of Macroeconomics,27,100%,2,No,1,92057,33.254619,-117.283341,81
73,2016000004,A,Integrated Core,93.0,4.0,INT 300,Ethics,27,90.24%,2,No,1,92057,33.254619,-117.283341,29
74,2016000004,A,Business Management,93.0,4.0,MGT 100,Foundations of Business,27,82.35%,2,No,1,92057,33.254619,-117.283341,76
76,2016000004,A,Arts and Humanities,94.5,4.0,LIT 200,Intro to Literature &amp; Creative Writing,27,87.10%,2,No,1,92057,33.254619,-117.283341,54
77,2016000004,A,Business Management,94.63,3.86,ACC 230,Managerial Accounting,27,100%,2,No,1,92057,33.254619,-117.283341,17
78,2016000004,A-,Business Management,90.07,3.86,BUS 498,Advanced Reading in Business,27,100%,2,No,1,92057,33.254619,-117.283341,76
79,2016000004,A-,Business Management,90.9,3.86,MGT 420,Global Business Environment,27,100%,2,No,1,92057,33.254619,-117.283341,76
80,2016000004,A,Business Management,93.11,3.86,MGT 480,Strategic Management,27,81.25%,2,No,1,92057,33.254619,-117.283341,0
